Cathegory,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antidepressants,103.28571428571429,103.28571428571429,103.28571428571429,103.28571428571429,103.28571428571429,17.717261904761905,14.897321428571429,11.651785714285714,9.418154761904761,9.138392857142858,9.001488095238095,9.061011904761903,8.349702380952381,9.147321428571429,9.450892857142858,9.680059523809524,10.541666666666668,10.629464285714286,12.922619047619047,15.261904761904761,16.888392857142858,17.00595238095238,18.991071428571427
Cars,186.85714285714286,186.85714285714286,186.85714285714286,186.85714285714286,186.85714285714286,23.873015873015873,20.65079365079365,18.599206349206348,16.547619047619047,18.067460317460316,19.230158730158728,19.253968253968257,16.789682539682538,16.547619047619047,17.833333333333332,18.178571428571427,17.599206349206348,15.626984126984125,15.587301587301587,17.28174603174603,17.75,17.813492063492063,19.06349206349206
Charities,643.24,643.24,643.24,643.24,643.24,22.976666666666667,22.903333333333336,17.38,16.30666666666667,15.913333333333332,15.773333333333333,15.1,13.213333333333333,11.946666666666667,11.22,11.37,11.63,10.673333333333336,10.14,10.3,10.783333333333333,10.56,11.623333333333333
Conspiracy Theories,184.26,184.26,184.26,184.26,184.26,20.16,16.445,11.748333333333333,10.313333333333333,9.945,10.11,11.958333333333332,11.321666666666667,11.21,11.131666666666668,11.426666666666668,11.321666666666667,10.966666666666667,11.708333333333332,12.446666666666665,13.396666666666665,15.43,13.256666666666668
Consumerism,189.5,189.5,189.5,189.5,189.5,20.84469696969697,16.696969696969695,13.984848484848483,14.40151515151515,17.625,19.295454545454543,22.34090909090909,25.882575757575754,27.15151515151515,27.799242424242422,27.515151515151516,26.897727272727273,24.363636363636363,23.541666666666664,22.31439393939394,22.458333333333332,25.844696969696965,24.53409090909091
Contraceptives,138.0,138.0,138.0,138.0,138.0,30.851851851851855,26.444444444444443,22.02777777777778,18.435185185185183,18.62962962962963,17.287037037037038,20.12962962962963,17.398148148148145,18.259259259259256,18.787037037037038,18.444444444444443,19.694444444444443,20.157407407407405,18.87037037037037,20.194444444444443,20.666666666666668,22.953703703703706,23.064814814814817
Crime,379.3333333333333,379.3333333333333,379.3333333333333,379.3333333333333,379.3333333333333,21.194444444444443,5.527777777777778,8.13888888888889,3.0833333333333335,3.2777777777777772,2.0277777777777777,2.861111111111111,1.1111111111111112,1.0277777777777777,0.8055555555555555,0.9722222222222222,0.5555555555555555,0.7777777777777777,0.6944444444444443,0.611111111111111,1.0,1.0833333333333333,1.361111111111111
Education,235.45454545454547,235.45454545454547,235.45454545454547,235.45454545454547,235.45454545454547,57.57954545454545,50.946969696969695,43.92045454545455,39.28409090909091,37.88636363636363,34.27272727272727,31.598484848484848,29.507575757575754,26.045454545454547,25.257575757575754,25.575757575757574,25.8030303030303,25.560606060606062,25.85606060606061,26.329545454545453,27.727272727272727,28.954545454545453,31.064393939393938
Entertainment,427.3157894736842,427.3157894736842,427.3157894736842,427.3157894736842,427.3157894736842,13.048644338118022,11.590909090909092,9.148724082934608,8.621610845295056,8.987639553429027,9.85047846889952,10.094497607655502,11.22846889952153,11.248006379585327,11.677033492822966,11.971291866028707,11.216905901116426,11.35805422647528,9.592105263157896,9.612838915470494,9.914673046251993,11.275119617224881,11.277113237639552
Environmentalism,512.5833333333334,512.5833333333334,512.5833333333334,512.5833333333334,512.5833333333334,27.472222222222218,25.04861111111111,16.583333333333332,15.645833333333334,15.3125,14.805555555555555,14.333333333333334,12.604166666666664,12.479166666666666,12.701388888888888,13.354166666666664,14.159722222222223,13.0625,14.048611111111112,15.006944444444445,16.729166666666668,18.92361111111111,20.895833333333332
Gambling,534.4375,534.4375,534.4375,534.4375,534.4375,13.869791666666666,12.359375,12.53125,14.135416666666666,11.776041666666666,11.734375,10.479166666666666,9.692708333333334,9.927083333333332,11.239583333333332,12.859374999999998,11.1875,10.859375,12.046875,14.046875,18.015625,21.171875,29.744791666666664
Games,515.9,515.9,515.9,515.9,515.9,20.166666666666664,25.18333333333333,22.474999999999998,24.383333333333333,26.7,27.975,28.48333333333333,29.083333333333332,31.575,41.46666666666666,44.275,46.03333333333333,39.78333333333333,31.18333333333333,27.84166666666666,25.39166666666667,29.15833333333333,25.766666666666662
Guns,639.375,639.375,639.375,639.375,639.375,18.4375,18.322916666666664,15.296875,12.848958333333332,11.59375,12.71875,13.197916666666666,11.921875,13.359375,14.473958333333332,15.265625,15.838541666666666,16.90625,16.494791666666664,18.875,17.890625,20.098958333333332,21.380208333333332
Healthcare,725.1470588235294,725.1470588235294,725.1470588235294,725.1470588235294,725.1470588235294,24.1078431372549,21.94362745098039,18.07598039215686,14.884803921568627,14.07843137254902,13.700980392156863,13.014705882352942,12.129901960784313,11.992647058823529,12.267156862745097,13.406862745098039,15.394607843137253,16.61764705882353,17.8921568627451,19.924019607843135,21.485294117647058,22.404411764705884,25.397058823529413
Housing,624.7692307692307,624.7692307692307,624.7692307692307,624.7692307692307,624.7692307692307,16.192307692307693,15.538461538461538,11.397435897435896,10.205128205128206,12.006410256410255,14.23076923076923,15.346153846153847,16.51282051282051,17.365384615384617,18.724358974358974,20.852564102564106,20.05128205128205,18.294871794871792,17.73076923076923,17.814102564102562,17.544871794871792,18.166666666666664,18.807692307692307
Ideology,618.9,618.9,618.9,618.9,618.9,30.452777777777776,26.666666666666668,21.08611111111111,17.508333333333333,17.561111111111114,15.572222222222221,15.383333333333333,13.66388888888889,13.180555555555554,12.680555555555555,13.02222222222222,14.327777777777778,15.255555555555556,15.230555555555556,15.963888888888887,15.402777777777777,18.230555555555554,16.508333333333333
Illegal Drugs,746.88,746.88,746.88,746.88,746.88,27.726666666666667,24.076666666666664,20.13,16.77,16.65,14.55,13.323333333333332,13.76,13.55,14.096666666666666,15.733333333333333,17.136666666666667,19.05333333333333,18.74,20.013333333333332,24.076666666666664,24.25,25.02333333333333
Investing,720.0,720.0,720.0,720.0,720.0,18.932291666666668,13.239583333333332,11.03125,10.526041666666666,10.286458333333332,8.666666666666666,9.364583333333334,8.848958333333332,8.010416666666666,7.78125,7.718749999999999,7.708333333333334,7.75,11.59375,12.536458333333332,13.119791666666666,18.984375,31.255208333333332
Jobs,785.8181818181819,785.8181818181819,785.8181818181819,785.8181818181819,785.8181818181819,23.28787878787879,17.507575757575754,14.287878787878787,15.393939393939394,14.969696969696969,14.34848484848485,14.083333333333332,13.265151515151514,12.0,12.159090909090908,12.272727272727273,12.90151515151515,12.477272727272727,11.765151515151514,11.590909090909092,11.196969696969695,10.136363636363637,11.015151515151516
Legal Drugs,703.7142857142857,703.7142857142857,703.7142857142857,703.7142857142857,703.7142857142857,25.252976190476186,20.657738095238095,18.229166666666664,17.181547619047617,16.133928571428573,16.348214285714285,16.119047619047617,16.06547619047619,17.479166666666668,18.291666666666664,19.163690476190474,18.913690476190478,18.735119047619047,20.178571428571427,20.407738095238095,22.348214285714285,23.541666666666664,23.958333333333336
Low income,749.1111111111111,749.1111111111111,749.1111111111111,749.1111111111111,749.1111111111111,33.47222222222222,32.425925925925924,27.435185185185187,23.99074074074074,23.879629629629633,24.166666666666668,25.24074074074074,27.86111111111111,25.09259259259259,23.185185185185183,22.51851851851852,23.48148148148148,27.72222222222222,25.62962962962963,23.25,23.59259259259259,24.194444444444443,22.166666666666668
Marriage,683.8,683.8,683.8,683.8,683.8,21.099999999999998,16.1,13.316666666666668,13.2,9.916666666666668,7.35,10.533333333333331,8.0,6.35,5.783333333333333,5.866666666666666,6.499999999999998,6.683333333333333,7.133333333333333,7.666666666666667,8.73333333333333,10.399999999999999,11.749999999999998
News,753.625,753.625,753.625,753.625,753.625,20.507440476190478,17.964285714285715,14.703869047619047,12.174107142857142,12.275297619047619,12.419642857142858,12.53125,11.180059523809522,11.453869047619047,11.519345238095239,12.007440476190476,11.458333333333332,11.345238095238093,10.988095238095237,10.712797619047619,10.217261904761903,10.776785714285714,9.668154761904761
Other,791.5,791.5,791.5,791.5,791.5,30.520833333333332,25.479166666666664,20.520833333333332,17.979166666666668,19.749999999999996,17.1875,18.354166666666664,13.729166666666668,12.666666666666668,11.645833333333334,11.875,11.416666666666666,11.395833333333334,10.041666666666668,9.520833333333332,8.395833333333334,9.145833333333334,8.708333333333334
Religion,809.2571428571429,809.2571428571429,809.2571428571429,809.2571428571429,809.2571428571429,30.957142857142856,26.026190476190475,23.040476190476188,20.764285714285716,19.98809523809524,19.988095238095237,19.038095238095238,19.566666666666666,20.76666666666667,20.30952380952381,20.916666666666664,21.81190476190476,20.664285714285715,19.82857142857143,22.359523809523807,21.53333333333333,21.709523809523812,21.883333333333333
S&P 500,921.6666666666666,921.6666666666666,921.6666666666666,921.6666666666666,921.6666666666666,19.297325102880656,15.351851851851851,12.356481481481481,10.213991769547325,10.335133744855966,10.55272633744856,10.916666666666666,10.027777777777779,9.63425925925926,9.403292181069958,9.234310699588477,9.237654320987655,8.410493827160494,8.494855967078188,8.697016460905349,9.20704732510288,9.07175925925926,8.853137860082304
Sports,1091.7857142857142,1091.7857142857142,1091.7857142857142,1091.7857142857142,1091.7857142857142,27.75,24.410714285714285,21.25,20.684523809523807,21.863095238095237,23.452380952380953,22.136904761904763,21.297619047619044,20.464285714285715,17.851190476190474,18.91071428571428,18.660714285714285,19.023809523809522,19.351190476190474,22.440476190476186,22.785714285714285,23.095238095238095,28.726190476190474
Stats,1072.5,1072.5,1072.5,1072.5,1072.5,8.375,11.625,7.708333333333333,2.833333333333333,1.9166666666666665,3.5416666666666665,2.2916666666666665,1.2916666666666667,0.875,1.5,1.375,1.4166666666666665,1.5,1.4166666666666665,1.8333333333333333,2.2916666666666665,2.3333333333333335,2.2916666666666665
Steroids,1101.875,1101.875,1101.875,1101.875,1101.875,13.359375,13.942708333333334,11.192708333333332,7.708333333333333,9.453125,9.942708333333332,13.140625,14.677083333333332,14.447916666666668,15.255208333333334,15.645833333333332,15.848958333333334,12.322916666666666,12.322916666666666,13.192708333333332,14.984375,14.03125,15.744791666666666
Tourism,1118.301886792453,1118.301886792453,1118.301886792453,1118.301886792453,1118.301886792453,23.9748427672956,18.9748427672956,17.163522012578614,15.696540880503145,15.375786163522012,14.517295597484276,14.547169811320755,13.272012578616351,13.152515723270438,13.015723270440251,14.935534591194967,16.358490566037737,14.910377358490566,16.84433962264151,17.221698113207545,18.367924528301888,15.46069182389937,15.600628930817608
University,312.5321100917431,312.5321100917431,312.5321100917431,312.5321100917431,312.5321100917431,17.18272171253823,13.67354740061162,9.402140672782874,7.279051987767584,6.402140672782874,5.905198776758409,5.811162079510703,5.277522935779817,4.946483180428134,4.381498470948012,4.606269113149847,4.743119266055046,4.545107033639144,4.342507645259938,4.598623853211009,4.481651376146789,4.3058103975535165,4.16743119266055
