keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Cathegory
Adapin,15.25,8.0,13.166666666666666,7.75,4.166666666666667,5.75,2.833333333333333,3.5,1.0833333333333333,3.4166666666666665,1.5833333333333333,2.333333333333333,1.9166666666666667,2.0,1.25,1.4166666666666667,0.5833333333333334,0.5,Antidepressants
doxepin,45.66666666666666,43.16666666666666,38.91666666666666,40.16666666666666,38.083333333333336,39.25,42.66666666666666,54.25,58.333333333333336,56.583333333333336,58.25,68.33333333333333,54.083333333333336,66.16666666666667,76.33333333333333,77.25,73.08333333333333,82.91666666666667,Antidepressants
Anafranil,49.41666666666666,68.16666666666667,54.16666666666666,46.66666666666666,45.66666666666666,52.833333333333336,48.333333333333336,39.66666666666666,40.75,39.083333333333336,38.66666666666666,33.916666666666664,27.83333333333333,29.25,29.08333333333333,26.75,26.33333333333333,27.08333333333333,Antidepressants
clomipramine,47.91666666666666,49.083333333333336,40.66666666666666,40.16666666666666,37.75,43.75,37.0,41.833333333333336,46.25,47.583333333333336,43.833333333333336,38.41666666666666,33.666666666666664,34.583333333333336,39.91666666666666,39.583333333333336,39.91666666666666,42.333333333333336,Antidepressants
bupropion,24.416666666666668,24.666666666666668,26.666666666666668,28.166666666666668,25.916666666666668,30.416666666666668,34.916666666666664,39.333333333333336,44.583333333333336,44.833333333333336,48.0,52.583333333333336,49.66666666666666,59.083333333333336,67.16666666666667,71.66666666666667,69.75,77.0,Antidepressants
asendin,10.833333333333334,18.58333333333333,10.0,11.75,5.916666666666667,4.25,5.25,4.5,1.75,2.0,2.583333333333333,1.1666666666666667,2.25,1.25,2.333333333333333,0.25,0.75,2.083333333333333,Antidepressants
amoxapine,21.08333333333333,6.5,3.25,5.25,4.5,3.4166666666666665,4.666666666666667,4.0,2.833333333333333,4.333333333333333,3.25,3.75,2.333333333333333,3.4166666666666665,3.75,3.4166666666666665,2.583333333333333,2.5,Antidepressants
notriptyline,8.166666666666666,15.25,5.833333333333333,4.083333333333333,6.333333333333333,3.1666666666666665,2.75,0.3333333333333333,2.1666666666666665,1.0,0.8333333333333334,1.0833333333333333,1.0833333333333333,1.3333333333333333,1.5833333333333333,0.4166666666666667,1.5,1.4166666666666667,Antidepressants
Rexulti,1.1666666666666667,5.916666666666667,0.5833333333333334,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.0833333333333333,0.0833333333333333,12.833333333333334,52.91666666666666,66.0,76.58333333333333,81.91666666666667,68.5,74.91666666666667,Antidepressants
Celexa,68.0,54.0,54.583333333333336,57.41666666666666,62.0,64.0,70.08333333333333,91.5,87.41666666666667,72.08333333333333,64.25,57.66666666666666,50.41666666666666,49.333333333333336,48.25,42.66666666666666,35.25,33.583333333333336,Antidepressants
Cymbalta,29.5,79.0,87.83333333333333,83.58333333333333,79.58333333333333,70.08333333333333,63.25,77.33333333333333,78.83333333333333,68.25,58.333333333333336,56.0,50.16666666666666,52.083333333333336,55.833333333333336,55.75,47.75,48.91666666666666,Antidepressants
duloxetine,11.416666666666666,9.5,6.75,6.583333333333333,6.833333333333333,6.333333333333333,6.75,6.583333333333333,7.416666666666667,8.333333333333334,30.0,40.0,36.75,49.16666666666666,62.66666666666666,70.91666666666667,69.66666666666667,79.33333333333333,Antidepressants
desyrel,45.66666666666666,55.083333333333336,51.16666666666666,45.41666666666666,38.083333333333336,36.5,38.0,41.41666666666666,41.5,37.0,36.333333333333336,34.25,25.83333333333333,26.916666666666668,29.08333333333333,28.0,27.666666666666668,27.58333333333333,Antidepressants
trazodone,21.0,19.666666666666668,19.5,21.08333333333333,21.08333333333333,26.416666666666668,29.166666666666668,38.833333333333336,43.16666666666666,45.41666666666666,47.833333333333336,52.91666666666666,44.66666666666666,50.083333333333336,55.75,60.0,63.833333333333336,68.25,Antidepressants
venlafaxine,18.25,14.333333333333334,15.083333333333334,15.333333333333334,17.916666666666668,26.166666666666668,33.916666666666664,42.25,47.16666666666666,50.41666666666666,58.91666666666666,64.08333333333333,54.16666666666666,64.75,75.16666666666667,78.91666666666667,76.0,80.41666666666667,Antidepressants
emsam,13.583333333333334,4.416666666666667,68.91666666666667,61.66666666666666,31.58333333333333,21.75,18.166666666666668,17.333333333333332,15.75,14.416666666666666,11.833333333333334,11.25,10.166666666666666,7.833333333333333,8.5,8.75,6.416666666666667,5.75,Antidepressants
selegiline,39.083333333333336,23.58333333333333,38.75,28.58333333333333,25.83333333333333,24.83333333333333,25.08333333333333,24.33333333333333,22.5,21.916666666666668,20.666666666666668,21.08333333333333,17.333333333333332,18.33333333333333,20.666666666666668,20.666666666666668,19.75,20.5,Antidepressants
esketamine,2.833333333333333,1.5833333333333333,2.25,0.3333333333333333,0.5833333333333334,0.1666666666666666,0.25,0.3333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.5833333333333334,1.5833333333333333,1.8333333333333333,3.9166666666666665,21.0,7.416666666666667,9.416666666666666,Antidepressants
etrafon,5.666666666666667,25.5,7.833333333333333,9.5,6.916666666666667,5.083333333333333,0.4166666666666667,2.25,2.5,1.4166666666666667,0.9166666666666666,1.0833333333333333,1.6666666666666667,0.75,0.3333333333333333,1.4166666666666667,1.4166666666666667,0.4166666666666667,Antidepressants
amitriptyline,38.75,34.666666666666664,34.75,35.416666666666664,40.083333333333336,49.41666666666666,52.833333333333336,59.66666666666666,65.75,69.33333333333333,71.83333333333333,78.41666666666667,66.0,71.5,79.83333333333333,82.33333333333333,78.0,79.41666666666667,Antidepressants
elavil,76.5,69.91666666666667,60.833333333333336,57.333333333333336,53.66666666666666,49.75,49.833333333333336,53.25,52.41666666666666,48.25,46.25,44.083333333333336,34.583333333333336,33.75,34.583333333333336,32.333333333333336,26.916666666666668,27.58333333333333,Antidepressants
fetzima,2.333333333333333,3.333333333333333,2.583333333333333,0.0,0.5,1.75,1.3333333333333333,0.8333333333333334,0.0833333333333333,3.083333333333333,83.58333333333333,74.83333333333333,40.333333333333336,30.75,26.83333333333333,23.75,17.416666666666668,18.166666666666668,Antidepressants
levomilnacipran,20.83333333333333,10.916666666666666,19.08333333333333,11.0,8.916666666666666,3.583333333333333,4.916666666666667,2.833333333333333,2.833333333333333,12.416666666666666,19.0,18.0,12.583333333333334,10.416666666666666,13.5,12.25,12.833333333333334,13.833333333333334,Antidepressants
khedezla,25.666666666666668,14.583333333333334,8.75,0.0,10.75,2.1666666666666665,0.0,2.9166666666666665,0.75,3.8333333333333335,2.25,2.9166666666666665,2.0,1.6666666666666667,1.75,1.25,0.5,2.083333333333333,Antidepressants
desvenlafaxine,5.166666666666667,1.1666666666666667,1.5,3.6666666666666665,11.916666666666666,14.833333333333334,10.083333333333334,10.416666666666666,8.833333333333334,9.0,10.583333333333334,11.666666666666666,9.75,30.08333333333333,48.0,59.5,62.41666666666666,74.75,Antidepressants
latuda,1.8333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,1.1666666666666667,17.583333333333332,25.666666666666668,36.0,79.75,79.16666666666667,70.33333333333333,73.0,79.66666666666667,78.75,68.58333333333333,67.5,Antidepressants
