Country code,Category,Sample size,Pearson correlation,Pearson p-value,Covariance,Spearman correlation,Spearman p-value
br,S&P 500,324,0.9154,2.59E-07,0.2416,0.9178,2.10E-07
cz,S&P 500,215,-0.7917,1.53E-04,-0.3521,-0.7658,3.38E-04
us,S&P 500,488,0.1335,6.09E-01,0.0305,0.0785,7.65E-01
de,S&P 500,436,-0.2965,2.48E-01,-0.065,-0.4297,8.52E-02
es,S&P 500,345,-0.028,9.15E-01,-0.0036,0.1513,5.62E-01
nl,S&P 500,313,0.189,4.68E-01,0.031,0.2964,2.48E-01
fr,S&P 500,356,-0.2276,3.80E-01,-0.0481,-0.6417,5.49E-03
