Cathegory,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antidepressants,16.458333333333336,8.596153846153847,6.647435897435898,3.5416666666666665,2.8076923076923075,2.253205128205128,1.7724358974358974,1.7179487179487178,1.3525641025641024,1.3782051282051282,1.1730769230769231,1.282051282051282,1.0833333333333337,1.948717948717949,1.8205128205128207,1.7532051282051282,1.4743589743589742,1.5961538461538465
Cars,22.75,22.766666666666666,16.220833333333335,16.141666666666666,17.725,18.916666666666664,19.20833333333333,19.8,20.404166666666665,20.95833333333333,21.079166666666666,22.6,22.529166666666665,25.091666666666665,25.47083333333333,25.325,23.558333333333334,23.78333333333333
Charities,17.84126984126984,15.36904761904762,9.928571428571429,9.742063492063492,9.24206349206349,9.11904761904762,8.726190476190476,8.53968253968254,7.797619047619047,7.432539682539683,7.03968253968254,6.686507936507936,5.976190476190476,6.246031746031745,5.738095238095238,5.503968253968254,5.03968253968254,5.0
Conspiracy Theories,16.555555555555557,13.153703703703703,8.974074074074073,6.85,6.907407407407407,6.125925925925925,6.396296296296296,6.337037037037037,6.296296296296296,5.618518518518518,5.266666666666667,5.101851851851851,4.946296296296296,4.822222222222222,4.572222222222222,4.631481481481481,4.540740740740741,4.659259259259259
Consumerism,16.5375,17.195833333333333,16.841666666666665,19.129166666666663,22.48333333333333,24.104166666666664,25.89583333333333,28.03333333333333,27.4,28.99583333333333,29.775,30.68333333333333,30.84166666666667,34.725,36.891666666666666,36.24583333333333,41.9375,37.6125
Contraceptives,21.4375,12.916666666666666,11.510416666666668,9.322916666666666,9.875,8.583333333333332,9.75,12.635416666666668,12.354166666666666,13.072916666666664,13.145833333333332,11.739583333333334,10.28125,9.760416666666668,11.072916666666668,9.791666666666668,9.416666666666666,9.145833333333334
Crime,19.416666666666668,2.0,0.0,1.0,0.0,1.5833333333333333,0.75,0.4166666666666667,0.3333333333333333,0.25,0.4166666666666667,0.0,0.3333333333333333,0.25,0.25,0.3333333333333333,0.6666666666666666,0.0833333333333333
Education,35.1468253968254,39.38492063492063,37.04365079365079,33.29365079365079,34.03174603174603,34.63095238095238,35.64285714285714,36.86111111111111,35.17857142857143,33.61507936507936,33.23015873015873,31.70238095238096,28.90873015873016,28.79365079365079,27.285714285714285,26.81349206349206,28.448412698412696,27.44444444444444
Entertainment,13.863095238095235,10.63720238095238,7.104166666666666,5.95327380952381,6.025297619047619,6.204761904761905,5.867559523809524,6.222619047619047,6.40625,6.611607142857143,6.592559523809524,6.433333333333333,6.088690476190476,5.467857142857143,5.445833333333333,5.2821428571428575,5.528869047619048,5.6309523809523805
Environmentalism,21.675,19.58333333333333,17.60833333333333,18.258333333333333,20.191666666666663,19.65833333333333,19.175,20.75,22.366666666666667,21.08333333333333,22.216666666666665,21.5,20.18333333333333,21.05833333333333,22.23333333333333,21.425,19.78333333333333,20.275
Gambling,14.41111111111111,15.616666666666667,13.055555555555555,12.916666666666666,14.2,14.3,13.777777777777777,14.077777777777778,18.616666666666667,20.427777777777774,21.52777777777778,23.42777777777778,22.238888888888887,21.916666666666668,22.17222222222222,23.844444444444445,23.033333333333328,25.883333333333333
Games,10.81111111111111,18.405555555555555,16.36111111111111,20.16111111111111,21.82222222222222,21.116666666666667,21.788888888888888,25.83333333333333,29.933333333333334,36.53888888888889,34.40555555555556,34.46111111111111,25.86111111111111,20.20555555555556,15.52222222222222,15.122222222222222,18.7,15.8
Guns,19.0,15.477777777777778,10.06111111111111,10.027777777777777,10.716666666666669,9.61111111111111,10.35,10.4,10.86111111111111,9.5,9.644444444444444,10.805555555555555,10.61111111111111,10.416666666666666,9.966666666666669,8.927777777777779,10.005555555555556,9.261111111111113
Healthcare,14.908045977011492,11.454022988505749,10.21551724137931,9.014367816091957,7.511494252873563,8.140804597701148,8.74425287356322,9.729885057471265,9.313218390804597,10.379310344827584,9.887931034482758,10.629310344827584,9.78448275862069,10.298850574712642,10.336206896551724,10.994252873563218,10.367816091954024,12.862068965517242
Housing,18.4375,16.239583333333332,14.145833333333332,19.25,16.208333333333332,15.864583333333332,17.958333333333332,20.072916666666664,19.33333333333333,20.86458333333333,20.65625,22.05208333333333,22.90625,23.916666666666664,23.885416666666664,24.09375,28.05208333333333,29.0625
Ideologies,18.166666666666664,13.458333333333334,12.041666666666668,2.9791666666666665,4.291666666666666,3.083333333333333,3.333333333333333,2.4791666666666665,2.0416666666666665,1.375,1.2708333333333333,1.1458333333333333,1.9791666666666663,1.4791666666666663,1.6041666666666663,1.0208333333333337,1.8541666666666663,1.2291666666666663
Ideology,15.433333333333332,13.520833333333334,7.995833333333333,7.125,6.441666666666667,5.9625,6.091666666666667,5.529166666666667,5.016666666666668,4.654166666666667,4.658333333333333,4.466666666666667,4.745833333333334,4.4875,4.783333333333333,4.316666666666666,4.745833333333333,4.520833333333333
Illegal Drugs,21.75641025641025,15.993589743589745,13.71474358974359,12.25,12.330128205128204,12.5224358974359,13.272435897435896,13.46474358974359,13.85576923076923,13.596153846153848,13.971153846153848,14.19551282051282,13.897435897435896,15.01923076923077,16.381410256410255,17.701923076923077,18.98076923076923,20.44871794871795
Investing,12.974358974358976,18.82692307692308,12.314102564102562,11.173076923076923,11.237179487179484,10.82051282051282,11.37179487179487,11.14102564102564,10.551282051282053,10.166666666666666,9.538461538461538,9.42948717948718,8.852564102564104,12.833333333333334,13.826923076923077,10.942307692307692,15.935897435897434,29.448717948717952
