keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Cathegory
doxepin,13.0,6.583333333333333,7.5,8.0,3.4166666666666665,3.8333333333333335,0.0,2.1666666666666665,1.4166666666666667,0.75,0.6666666666666666,0.6666666666666666,1.0,1.75,1.75,0.3333333333333333,1.1666666666666667,0.3333333333333333,Antidepressants
clomipramine,0.0,0.0,24.75,4.916666666666667,17.25,18.666666666666668,23.5,23.25,26.416666666666668,33.0,35.416666666666664,39.16666666666666,36.91666666666666,42.16666666666666,44.25,43.833333333333336,55.91666666666666,57.0,Antidepressants
bupropion,0.0,19.416666666666668,23.666666666666668,19.166666666666668,22.08333333333333,8.5,17.583333333333332,14.416666666666666,15.416666666666666,13.0,13.833333333333334,19.666666666666668,14.25,20.666666666666668,17.416666666666668,19.916666666666668,15.833333333333334,17.833333333333332,Antidepressants
asendin,15.25,11.166666666666666,8.25,4.166666666666667,1.5833333333333333,0.0,1.25,1.1666666666666667,1.0833333333333333,1.0,0.5,0.25,0.9166666666666666,0.5,0.5833333333333334,0.6666666666666666,0.5,0.6666666666666666,Antidepressants
amoxapine,10.5,13.666666666666666,4.166666666666667,1.5833333333333333,0.6666666666666666,1.3333333333333333,1.8333333333333333,1.1666666666666667,1.3333333333333333,0.3333333333333333,0.9166666666666666,0.0,1.0,1.9166666666666667,1.25,0.25,0.9166666666666666,1.75,Antidepressants
Celexa,8.333333333333334,0.0,12.75,22.08333333333333,9.5,10.5,4.583333333333333,6.0,2.25,2.083333333333333,7.5,4.666666666666667,3.6666666666666665,1.9166666666666667,3.0,2.25,3.1666666666666665,3.5,Antidepressants
Cymbalta,16.166666666666668,16.25,4.0,8.916666666666666,64.0,66.25,67.66666666666667,66.75,70.5,70.66666666666667,75.83333333333333,78.66666666666667,61.583333333333336,53.583333333333336,56.5,52.25,45.16666666666666,48.91666666666666,Antidepressants
duloxetine,19.916666666666668,10.416666666666666,3.25,2.25,6.25,5.416666666666667,4.5,3.8333333333333335,6.0,5.166666666666667,4.25,9.75,14.833333333333334,21.83333333333333,30.416666666666668,36.25,41.5,45.333333333333336,Antidepressants
desyrel,8.333333333333334,15.0,5.25,3.75,1.9166666666666667,5.666666666666667,2.333333333333333,2.1666666666666665,2.25,1.1666666666666667,1.3333333333333333,0.5,2.1666666666666665,0.4166666666666667,0.25,1.1666666666666667,0.0,0.4166666666666667,Antidepressants
trazodone,11.416666666666666,7.166666666666667,3.5,6.5,1.5833333333333333,2.9166666666666665,1.8333333333333333,4.916666666666667,5.416666666666667,3.5,1.3333333333333333,2.833333333333333,2.6666666666666665,3.6666666666666665,2.083333333333333,3.9166666666666665,4.5,4.166666666666667,Antidepressants
venlafaxine,22.166666666666668,10.916666666666666,7.083333333333333,5.916666666666667,6.5,10.5,15.0,16.666666666666668,23.0,23.916666666666668,28.75,32.833333333333336,29.83333333333333,34.416666666666664,41.0,46.16666666666666,49.083333333333336,59.083333333333336,Antidepressants
emsam,24.58333333333333,7.916666666666667,8.583333333333334,12.583333333333334,10.833333333333334,5.333333333333333,7.5,4.25,3.75,2.6666666666666665,2.583333333333333,1.0833333333333333,1.4166666666666667,2.25,1.75,2.75,0.9166666666666666,0.3333333333333333,Antidepressants
escalade,55.833333333333336,46.66666666666666,40.083333333333336,33.75,30.33333333333333,28.58333333333333,27.416666666666668,29.166666666666668,30.08333333333333,28.75,30.58333333333333,31.666666666666668,33.583333333333336,37.25,38.083333333333336,41.25,34.583333333333336,39.41666666666666,Antidepressants
spravato,19.75,19.33333333333333,4.333333333333333,3.083333333333333,0.0,5.916666666666667,2.0,1.0833333333333333,2.333333333333333,0.5833333333333334,1.0833333333333333,1.3333333333333333,0.0,1.75,0.3333333333333333,1.8333333333333333,4.333333333333333,4.083333333333333,Antidepressants
amitriptyline,13.25,13.583333333333334,6.333333333333333,4.666666666666667,3.4166666666666665,6.333333333333333,10.666666666666666,10.833333333333334,11.833333333333334,11.833333333333334,10.0,14.416666666666666,12.083333333333334,12.916666666666666,17.166666666666668,19.25,18.58333333333333,17.666666666666668,Antidepressants
elavil,19.58333333333333,2.75,4.333333333333333,4.916666666666667,1.4166666666666667,2.083333333333333,0.5833333333333334,1.9166666666666667,1.4166666666666667,0.6666666666666666,1.25,1.75,1.6666666666666667,2.1666666666666665,1.5833333333333333,1.25,1.75,1.5,Antidepressants
endep,0.0,0.0,9.833333333333334,12.083333333333334,1.9166666666666667,3.9166666666666665,4.5,0.9166666666666666,2.833333333333333,5.083333333333333,0.75,1.3333333333333333,1.25,0.0,1.6666666666666667,0.3333333333333333,2.583333333333333,0.0,Antidepressants
