,fertility
doxepin,0.20544842865055515
Anafranil,0.5151454267011646
clomipramine,-0.3735348082786039
bupropion,-0.8419796813533096
Celexa,0.2858128370654466
Cymbalta,0.5816058367431156
duloxetine,-0.8775957871252157
trazodon,-0.7332250611516343
venlafaxine,-0.587027728999264
Selegiline,0.1887655895377344
escalatie,-0.7120225716012776
spravato,0.3239460818305661
perfenazine,0.43925753770587944
amitriptyline,-0.7360386543289438
elavil,0.351093193646774
latuda,0.2197457593454997
lamictal,0.25430304652135066
lamotrigine,-0.6914350045280702
chlordiazepoxide,0.46140097892896864
nardil,0.30587298837954113
pamelor,0.18925292225707924
parnate,0.394530830332493
tranylcypromine,0.19580882496987728
paxil,0.24492527372156375
paroxetine,0.503178282925008
prozac,0.5267299654627496
fluoxetine,-0.90912445451136
seroquel XR,0.6379779939748081
quetiapine,-0.9474366856831029
sinequan,0.25442725758472334
tofranil,0.2475091278205234
imipramine,0.17055269692507313
vortioxetine,0.11614001644607627
wellbutrin,-0.5343156219981228
zoloft,0.3712480223969312
sertraline,-0.7596157589068789
xanax,-0.9075027032849272
Alprazolam,-0.5521039327499472
autoverkoop,0.4736337936650226
gasprijs,0.24841979886749482
benzineprijs,-0.7301288724807203
dieselprijs,-0.4385966376690199
autofinanciering,0.7215899207461268
leasing,0.37304621583456343
tesla model s,-0.6360502988149985
tesla model 3,-0.7864521144970507
bmw 3 serie,-0.6065420973384331
rijexamen,0.4900694651105815
eerste auto,-0.8055571370525884
mercedes benz,0.32000920442775194
bmw,-0.7181216061048556
volkswagen,-0.00022459857494468621
vw,-0.47054104942799974
volkswagen golf,0.49222636073700543
peugeot 208,-0.8425566187840624
dacia sandero,-0.06707346143310174
skoda octavia,-0.583032947728458
ford f150,-0.6988865394033983
chevrolet silverado,-0.03227949418313991
autisme,-0.43216084065101124
Chemtrails,0.027832168408753168
27 Club,-0.6174753587860403
Nieuwe wereldorde,0.18676379753143668
George Soros,-0.6208250822364522
Soros,-0.7300523800511344
Vrijmetselarij,0.501771418522462
Area 51,-0.22858860552709673
Roswell UFO,0.28722767277475286
UFO,0.7300980304621277
men in black,-0.22004342879425864
Illuminati,0.21488693056499805
911,0.33134698201258844
Sandy Hook,-0.4833528129793857
Clinton body count,0.2645508082893927
jeffrey epstein,-0.654290294710437
Epstein,-0.6763789829335288
FEMA,0.5635713764937784
Fema kampen,-0.012057322484968758
Theekransje,0.025184719116448828
Frankfurt school,0.4504786761833864
QAnon,-0.5671813876588001
Antifa,-0.6273273559548174
fluoride,-0.6517186375812787
MKUltra,0.21999564246687475
Platte Aarde,-0.4509633728892576
assange,0.01852841156327253
wikileaks,0.4230995856716888
snowden,-0.4335340370296491
edward snowden,-0.4203738891368205
Maanlanding,0.13220589425072962
erich von däniken,0.21548408635524885
Denemarken,0.02777259211965328
Giorgio A. Tsoukalos,0.2818691742597129
Tsoukalos,0.1944524235841118
reptielen,0.43700577252860395
het plan,0.10872116629909438
eurabia,0.5660781824409152
weet niets,-0.06738427261282785
kkk,0.17119869935824814
ku klux klan,0.20757928139706536
Malcom X,0.2526253980573601
Martin Luther King,0.21986708368934732
ps5,-0.5629001396249983
ps4,-0.88888032225594
ps3,0.6794887945081778
xbox one,-0.795996813704449
xbox serie s,0.22462656443200885
xbox serie x,0.06084426321283364
playstation,-0.40820063956582964
nintendo,0.13235671064676394
lidl,-0.9159072435226513
walmart,-0.4418780384090721
costco,-0.24289916920835397
tesco,0.8065813962167597
kaufland,-0.8649968931792253
dollar general,-4.206729564431464e-05
iphone,-0.40049393417113155
macbook,-0.6030484417982049
mac,0.4678577461168272
pc,0.7951898625919346
Samsung,-0.3353713402217608
ikea,-0.804523220734108
condooms,0.7885919384819396
pillen,-0.794811056291731
vasectomie,-0.5558326147512904
na de pil,-0.34095985210490815
Rigevidon,0.2912813660066145
Postinor,0.24443652375104866
Plan B,-0.18232340672428254
Schietpartij op school,0.5628221327991962
universiteit,0.6171589072662971
college,0.4058013861069977
kindergarden,-0.8332022812170903
school,0.41958771601423844
onderwijs,0.6340979200125223
taalcursus,0.6170508229647245
wiskunde,0.8967215395794017
aardrijkskunde,0.6304031890844835
chemie,0.7986232872379784
engels,-0.8432574153179865
duits,-0.8278479267999904
Spaans,-0.6780438941485115
calculus,-0.1733168872679751
race,0.42643395403045475
wedstrijden,-0.6397456931627443
Scio,0.870426629880227
Universiteit,0.6171589072662971
Harvard Universiteit,0.10764677218676572
Massachusetts Institute of Technology,0.27374082688515394
MIT,-0.016880470629398042
Stanford University,0.3534075259010245
Universiteit van Oxford,0.1834156776921326
California Institute of Technology,0.2354376010601752
Caltech,0.21143467547797368
Berkeley,0.49639858764002204
UCB,0.43482195802205387
Yale University,0.37501735374531286
University College London,0.42186157539155394
UCL,-0.7562949067422247
Johns Hopkins Universiteit,0.5204573099286666
Imperial College London,0.24294148626709935
Cornell University,0.32904473662908446
UCLA,0.42266537669793525
Northwestern University,0.35964191621175906
UCSD,0.5050146693994361
Duke University,0.1781028957356939
NUS,0.5301014853658682
King's College London,0.3310789617282566
Nanyang Technological University,0.2371796579535503
NTU,0.8351610327367986
LMU,0.11305682706446979
McGill University,0.2752791480205514
TUM,0.20767993473982765
EPFL,0.10587382558598417
Monash University,0.16729524506331753
KU Leuven,-0.4934211535797493
Universiteit van Amsterdam,0.5736528223110249
CUHK,0.3300062911517622
Carnegie Mellon University,0.24557028029574682
Utrecht University,0.1797034213756494
Seoul National University,0.15361888741904905
UCSB,0.32912872648033203
Brown University,0.28144254642800565
Universiteit Leiden,0.6173372065330094
