keyword,fertility
mdma,-0.48160526524880365
pc,-0.6522631897235516
Octoberfest,-0.006120857803355688
FAU,-0.17528713870936286
halal,0.8632910690246333
shisha,0.2962680051641172
Moschee,0.403346803342453
Kratom,0.4095929192523343
Bier,0.8949850860853417
Amalfiküste,0.7719401396053297
Forum,-0.839920448556418
Anabolika,-0.6426636733609183
Planwirtschaft,-0.8614259371084398
greenpeace,-0.21533911919278959
Kreationismus,-0.2981354366482475
Sonnenkollektoren,-0.5525029459020526
Atheismus,-0.5730630254133848
kkk,-0.1877887418103891
Hydratation,-0.5558076856949258
Armageddon,0.2854208113738115
Reptilien,0.21483083954772952
