keyword,fertility
autismo,-0.6054329870636372
nintendo,0.30215712521618693
disney,0.08271026761606967
eBay,-0.2968055595128744
Metodista,0.38731706499226665
pistolas,-0.5149079842332809
Creacionismo,0.610421792371115
venlafaxina,0.6852827717467701
éxtasis,-0.6078666584183007
Barcelona,0.6795925113655821
Oxandrolona,0.1766074133610352
violación,0.5349081312277126
mosque,-0.4014189923337503
Whisky,-0.6157682017334453
cigarrillos,-0.5808383302646325
halal,0.009335897076758498
Cerveza,-0.3753701289385732
descuentos,0.258599990063995
feminismo,0.04367208367128803
celibato,-0.04802671880379706
