Country code,Category,Sample size,Pearson correlation,Pearson p-value,Covariance,Spearman correlation,Spearman p-value
br,Crime,3,0.8387,2.60E-05,0.4007,0.8417,2.27E-05
cz,Crime,1,-0.5205,3.22E-02,-0.3564,-0.3854,1.27E-01
us,Crime,5,0.5422,2.45E-02,0.2694,0.5739,1.60E-02
de,Crime,2,-0.4218,9.17E-02,-0.1124,-0.4457,7.30E-02
nl,Crime,1,0.5628,1.87E-02,0.1428,0.6463,5.06E-03
fr,Crime,2,-0.0536,8.38E-01,-0.0153,-0.2645,3.05E-01
