keyword,fertility
Adapin,0.775457761538083
doxepin,-0.9267349017687145
Anafranil,0.8643755536586587
clomipramine,0.3265923708813526
bupropion,-0.9651317637303887
asendin,0.7978791723367668
amoxapine,0.3841517251154352
notriptyline,0.665222966081748
Rexulti,-0.7816883417905771
Celexa,0.3516437043353568
Cymbalta,0.539057907084315
duloxetine,-0.8506261525329526
desyrel,0.8410977954971651
trazodone,-0.9728024103695125
venlafaxine,-0.9749980103382319
emsam,0.6772384670690567
selegiline,0.7380101751718424
esketamine,-0.48689949415860423
etrafon,0.6276034484804243
amitriptyline,-0.951359438118679
elavil,0.8724070104609628
fetzima,-0.45213841426083884
levomilnacipran,0.008876015200409381
khedezla,0.5306028250681327
desvenlafaxine,-0.8037784387277845
latuda,-0.8657039678680397
lurasidone,-0.9170763277605275
lamictal,0.8782560418424993
lamotrigine,-0.9834090352094631
chlordiazepoxide,-0.9527679606770736
marplan,0.6114714600600276
isocarboxazid,0.1637025260694132
nardil,0.8595882274207979
tranylcypromine,-0.2761733063923317
paxil,0.7140132798849015
fluoxetine,-0.9445803401711763
pristiq,-0.3103506257886798
sarafem,0.7611588677378733
quetiapine,-0.9214913263373765
serzone,0.6106920966007554
nefazodone,0.7467035412480082
vilazodone,-0.7336548760832917
Alprazolam,-0.746343217824207
car sale,-0.9692063167060323
citopram,0.3536761616284955
Effexor XR,0.8699840890629688
escitopram,0.2981065945580847
nortiptyline,0.6230759888068542
triavil,0.8392424763094848
trintellix,-0.7628497886799652
viibryd,-0.7033302520068422
sertraline,-0.9504289970184381
zyprexa olanzapine,0.1927618766194638
diesel price,-0.6746818745147993
car financing,-0.38588296940210964
leasing,0.44856213719794147
driving test,-0.8666624379285263
volkswagen golf,-0.4357692011334111
chevrolet silverado,-0.8908808110013722
vaccines cause autism,-0.8104498900981494
27 Club,-0.6700201179879691
Roswell UFO,0.16374889882733074
Epstein,-0.5062760280387449
FEMA,0.39211640814240484
Fema camps,-0.11224101870098718
Antifa,-0.6464758775650502
MKUltra,-0.560633014426835
Project Monarch,0.1336365912806608
Flat Earth,-0.6397938075054677
wikileaks,-0.13407319289738112
snowden,-0.4996006550114429
edward snowden,-0.5345626102436722
fake moon landing,0.040081774215299126
lost cosmonauts,0.014428217141813707
war against islam,0.6216769527843347
dead cattle,-0.5388712799064069
erich von däniken,0.5035705534540524
däniken,0.6196047301615977
Giorgio A. Tsoukalos,-0.35531236504374275
Tsoukalos,-0.41199423398876295
reptilians,-0.26793873110116617
the plan,-0.9682990870525763
love jihad,-0.016706602591991176
eurabia,0.8304809589772135
Barack Obama muslim,0.3821522182659601
vatican secret archives,0.30865971744183984
secret archives,0.8139365936031957
know nothings,0.533701323750114
kkk,-0.2176715731807194
ku klux klan,0.740025351267135
Malcom X,0.7277819507342892
Martin Luther King,0.702333135646575
dr. king,0.909458459336379
white pride,0.3963132084927029
Pope John Paul II assassination,0.48062594066549263
ps5,-0.5001311001592827
ps3,0.26175870120428807
xbox one,-0.7896326841675013
xbox series s,-0.4600464408135936
xbox series x,-0.47475777261761665
playstation,0.0996898525316123
walmart,-0.9692943942380984
costco,-0.9566756437183264
tesco,0.6438616054062444
kaufland,-0.02730085265899189
whole foods,-0.8696350686893926
dollar general,-0.9289538259049345
dollar store,-0.9575812436970088
iphone,-0.7854914547390105
macbook,-0.7582300136538369
mac,0.4011890895639331
pc,0.8196593796584328
samsung,-0.7899138416793382
ikea,-0.8823450602355145
condoms,0.5409320719461882
pills,-0.9300305176623894
contraceptives,0.7774407207572446
vasectomy,-0.7968781132946628
how to pull out,-0.9749639965300478
pull out method,-0.6673747413282056
Rigevidon,0.7382150739773791
Postinor,0.2332113204150129
Plan B,-0.885792772475655
husband beats me,0.6038737572973141
wife beats me,0.3228464057782739
fake id,0.39729869804379375
School shooting,-0.47175616338994364
School police,0.6444488666557265
education,0.8677074509842185
high schools near me,-0.8065032486550687
university,0.924506636835056
college,0.9365213155727444
kindergarden,0.9620485381811953
school,0.8921325992520472
school shotings,0.5492347608656015
language course,0.7548229583010667
maths,-0.15065864445759744
geography,0.6272245280844582
chemistry,0.5818798015560729
english,-0.6655161360146963
german,0.6169731834712707
spanish lectures,0.4703591197719907
spanish,-0.792575749757347
calculus,0.6823949788591002
community college,0.9419939043168665
course,0.745059497520826
courses,0.7996736276190871
management courses,0.6943448359009033
management course,0.7846773847549919
University,0.924506636835056
schools near me,-0.8190273182752961
Harvard University,0.8406061708551235
Massachusetts Institute of Technology,0.8411277675293857
MIT,0.8157010365746661
University of Oxford,0.8075263366500807
University of Cambridge,0.8128042633319851
Caltech,0.8828248056536124
University of California,0.8293088941813065
Berkeley,0.9286334692969438
UCB,0.6582494149172005
University of Chicago,0.9073874200984432
Princeton University,0.8921596552775624
University of Pennsylvania,0.8656673369037565
University College London,0.725588893304888
ETH Zurich,0.372619304201406
Cornell University,0.8948735983321572
Tsinghua University,0.7769525717144588
University of Toronto,0.7708251211929261
UCLA,0.8931191710419483
Northwestern University,0.9299136487006975
University of Edinburgh,0.7726634505248383
Peking University,0.7529125936588303
New York University (NYU),0.817390939184472
University of Melbourne,0.8100310398814331
University of California San Diego ,0.8345602503533609
UCSD,0.9111372357919538
Duke University,0.8947336725342447
University of Washington,0.878829819636892
University of British Columbia,0.7568111224356321
University of Manchester,0.8133625045679763
NTU,0.8203080066109463
LMU,-0.5446712511847119
University of Queensland,0.8726773540950605
University of Texas at Austin,0.8525143192533383
Technical University of Munich,-0.18568550810817594
TUM,-0.29233414720139855
EPFL,0.8063261914856508
