keyword,fertility
doxepin,0.13765432790265172
Anafranil,0.18193894210290332
clomipramina,-0.16073051512955183
bupropion,-0.4589956195424941
Rexulti,0.019673596413111366
Celexa,-0.023416167389774648
Cymbalta,0.09181401186634008
duloxetina,-0.37876434318980895
desyrel,0.16066886000682426
trazodona,-0.45530830933770067
venlafaxina,-0.7601589016683789
emsam,-0.032591950571196196
Selegilina,0.1235101958491374
spravato,0.0833599271269585
amitriptilina,-0.2740270640654944
elavil,0.43449489013309284
endep,0.02218226767286447
desvenlafaxina,-0.3331551716645997
latuda,0.12950349874036815
lurasidona,0.10248254212655028
lamictal,0.05514286674499627
lamotrigine,-0.04224746678029279
lexapro,0.30874057216096845
clordiazepóxido,0.07640683651660819
nardil,0.05881038430955229
fenelzina,0.12586429663335386
desipramina,0.08608656943064338
pamelor,0.3337170674506103
parnate,-0.07632716152201469
tranilcipromina,0.13407269487913637
paxil,0.1641101773890866
paroxetina,-0.560631635528599
prozac,0.3564604807241988
pristiq,-0.5310499022434986
quetiapina,-0.5303445439954432
nefazodona,0.2254701662141939
sinequan,-0.011530539710407088
imipramina,0.34033510576823683
vortioxetina,-0.4157951629142068
wellbutrin,0.10806601522539878
zoloft,0.06742805008428097
sertralina,-0.543921269982375
zyprexa olanzapina,0.32963921282995373
xanax,-0.39615193031866286
Alprazolam,-0.4723660040478854
venta de coches,0.27643925274524245
gas price,-0.12419648378795098
petrol price,0.08937374793608793
financiación de coches,-0.036520706419523034
arrendamiento,0.20567124772987858
tesla model s,-0.5406332915719798
tesla model 3,-0.4725399951232851
bmw serie 3,-0.4354943836023652
licencia de conducir,0.24549362242215517
examen de conducir,0.4533447538423293
primer coche,-0.47202606245516826
mercedes benz,0.04893989122075327
bmw,-0.46001379932700087
vw,-0.11381254410276062
volkswagen golf,-0.32259874715478
peugeot 208,-0.561648430302975
dacia sandero,-0.5713636032413105
skoda octavia,-0.5348205850336922
ford f150,-0.5303582128421093
camioneta ram,-0.03929156921413311
chevrolet silverado,-0.05157394331867082
Chemtrails,-0.1776289608458895
El asesinato de JFK,0.10749777547264801
Nuevo orden mundial,0.09729722549201744
George Soros,-0.26589146327298313
Soros,-0.19381979954731143
Masonería,0.09497336560827457
Área 51,-0.4399963595051362
OVNI de Roswell,-0.28227375720920844
OVNI,0.04704046038951188
hombres de negro,-0.5140530361488252
Illuminati,-0.3782246116880196
911,-0.4435854106705004
Muerte de Jeffrey Epstein,0.14410288799017199
jeffrey epstein,-0.028200114725485413
Epstein,-0.09917575290859532
FEMA,0.31744860323712265
Tea party,0.03559835213363947
Escuela de Frankfurt,0.23990577400191287
Estado profundo,0.1753496591651778
QAnon,0.06326763552103576
Antifa,0.40855439787869524
fluoruro,-0.412323190856383
HAARP,0.1346757675310916
MKUltra,-0.16194621413255925
Proyecto Monarca,0.0726306832726237
Tierra plana,-0.5295791199336455
Sociedad Vril,-0.022800314071759108
assange,-0.5020698380763335
wikileaks,0.1251364945923344
snowden,-0.5193889498349048
edward snowden,-0.48603363117485643
Alunizaje,-0.2956409355341189
falso alunizaje,0.04677491870058432
erich von däniken,0.27050177862397573
Dinamarca,-0.44371560458888826
Giorgio A. Tsoukalos,-0.05156376083244416
Tsoukalos,-0.17136027417571664
reptilianos,-0.41938514699746454
el plan,0.4401197893110287
eurabia,0.6782633313773927
archivos secretos del vaticano,0.004023180607387102
archivos secretos,0.5260394281249561
no sabe nada,-0.37578604951420713
kkk,0.1505729270261339
ku klux klan,-0.4920707904644641
Malcom X,0.44283279907861195
Martin Luther King,-0.018781779153039226
orgullo blanco,0.1239498192800663
ps5,0.06836631348870795
ps4,-0.4995385037326519
ps3,0.29457759228008384
xbox one,-0.5307521331715687
xbox serie s,0.15055728747623878
serie x de xbox,0.07412504251051773
playstation,0.15274777375608592
nintendo,0.6634194453099364
lidl,-0.4478747045058613
walmart,0.10068826860904254
costco,-0.43557646474427025
tesco,-0.2844568812162854
kaufland,-0.10039818309135981
alimentos integrales,-0.011263850418290085
iphone,-0.3960426901801964
mac,0.194004860771705
pc,0.4969212163743182
samsung,-0.4640520387790627
ikea,-0.3626636518798971
condones,-0.34502025635403727
pastillas,-0.5420154016901355
anticonceptivos,0.0936772904919956
vasectomía,-0.5114016893010963
cómo sacar,-0.39340162319463884
después de la píldora,0.03263071067024966
Rigevidon,-0.030413010926138892
Postinor,0.28895329195633207
educación,0.24399761451222632
universidad,0.261299911838772
jardín de infancia,0.12832574712258646
escuela,0.22164074838058503
curso de idiomas,0.29383504559869855
matemáticas,0.06371488070396635
geografía,0.09633778243758766
química,0.2330325488946396
alemán,-0.016168129849827954
español,-0.15238542835778845
cálculo,0.30123372634717616
carrera,-0.5430322535602221
carreras,0.38998144873290375
cursos de gestión,0.23456043213883992
curso de gestión,0.3089064249815646
Niveles A,-0.31339990180402444
Universidad,0.255557747712356
Universidad de Harvard,-0.4066834645824778
Instituto Tecnológico de Massachusetts,-0.07085982571743074
MIT,-0.5248043685767574
Universidad de Stanford,-0.31207101477812066
Universidad de Oxford,0.11101737317747591
Universidad de Cambridge,-0.22251794797191232
Caltech,-0.10918750498007546
Universidad de California,-0.024587246155625606
Berkeley,-0.061295449694163624
UCB,0.4606936461595561
Universidad de Chicago,-0.04543754576059016
Universidad de Princeton,-0.006106512189676511
Universidad de Columbia,-0.005280083017740578
Universidad de Yale,0.14937394931690354
Universidad de Pensilvania,0.07059903175602426
University College London,0.038084360894959125
UCL,-0.5856702023953656
Universidad Johns Hopkins,0.09799216041397173
Universidad de Cornell,0.0944577316752814
Universidad de Toronto,0.01801849301872275
UCLA,0.274110755254125
Universidad de Michigan,0.1817052659556563
Universidad de Edimburgo,-0.027515432243359537
Universidad de Melbourne,0.1337074017455211
UCSD,0.11027042906477806
Universidad de Duke,0.23361180032230908
Universidad de Washington,0.09484257134248146
NUS,0.588443643696757
Universidad de Manchester,-0.012148756364088216
NTU,0.2446410606219681
LMU,-0.26518926454942104
Universidad de Queensland,0.11324792267645606
TUM,-0.24985811771564648
EPFL,0.13600060433746478
Universidad de Copenhague,0.20811457756693785
KU Leuven,-0.37492851915896375
CUHK,0.27603339686537154
Universidad de Utrecht,0.009846780542470622
Universidad de Boston,-0.01553716285937896
UCSB,0.4961995668454018
Universidad de Brown,0.18803868468558643
Universidad de Helsinki,-0.029162189211201197
Universidad de Warwick,0.15454203305912648
Universidad de Birmingham,-0.03542333373760836
Universidad de Glasgow,0.10010576716011917
Universidad de Gante,0.17662868442300117
Universidad de Lund,-0.11793798798842406
TU Delft,-0.3001345539752327
LSE,-0.6796019201216621
Universidad de Pittsburgh,0.2393677795720181
Universidad de Alberta,0.0005828185511283211
Universidad de Estocolmo,0.22290866573724652
Universidad de Florida,0.026893320827686404
Universidad de Friburgo,0.17982574988804526
Universidad de Tubinga,0.04059290590322053
Universidad de Rochester,-0.0020262099792031337
Universidad de Virginia,-0.0020976559301755793
Universidad de Barcelona,0.19965083081213134
Universidad de Arizona,0.1519330330492477
Universidad de Liverpool,0.3022553332539721
Universidad de Viena,-0.20063261562469728
Universidad de Cardiff,0.06678921238404242
KIT,-0.5379043141519512
Universidad de Tufts,0.40779852518687854
Instituto Karolinska,0.13638335165051138
UCSF,0.12070170624328817
UCLouvain,0.33399551687983386
Universidad de Padua,0.2298595834516434
Universidad de Notre Dame,-0.042306548797364354
KAIST,0.06702340518394703
Universidad de Georgetown,0.102218197780204
USP,0.5835042828763115
Universidad de Maastricht,0.1306793991439704
TU Dresden,0.12349320915204619
Universidad de York,0.10064633293949411
QUT,-0.12780514028138593
Universidad de Amberes,-0.03742180085559832
UIC,0.48888995291038334
FAU,0.03508925963833234
Universidad Pompeu Fabra,0.1686649930201928
Universidad de Corea,0.011065620415115914
Universidad de Buenos Aires,0.2599211252286507
UBA,0.4156989491608225
Universidad Nacional Autónoma de México,0.028379356430722265
Pontificia Universidad Católica de Chile,-0.015921863991174012
beca,-0.38151267887444096
estudiar en europa,-0.09578990994197305
netflix,-0.37545974690632694
Manga,0.12006234576567162
Anime,-0.169705515995217
disney,0.7587188900242798
Avatar,0.29254949368710326
Piratas del Caribe: En el fin del mundo,0.3198640370057987
Spectre,-0.2559529558753797
The Dark Knight Rises,-0.14911710905279965
John Carter,-0.19487134119354385
Spiderman 3,0.3668364627041124
Enredado,-0.18372128320161185
Vengadores: La era de Ultrón,-0.12248281992811909
Harry Potter y el príncipe mestizo,0.0450986043832832
Batman v Superman: El Amanecer de la Justicia,0.05675571693421819
Quantum of Solace,0.662800711903479
Piratas del Caribe: el cofre del hombre muerto,0.15696900510785564
El Llanero Solitario,-0.41626563073742057
El hombre de acero,-0.4424647047061831
Las Crónicas de Narnia: El Príncipe Caspian,0.15002565163280893
Los Vengadores,-0.5335735645727612
Hombres de Negro 3,-0.16785528834378885
El Hobbit: La batalla de los cinco ejércitos,-0.0852164003322769
The Amazing Spider-Man,-0.3362038359016963
El Hobbit: La desolación de Smaug,-0.2932999800955192
Titanic,0.14056866177964525
Capitán América: Civil War,-0.14009825545167073
Acorazado,0.03300951699165746
Jurassic World,-0.4133521113771982
Skyfall,-0.3627574571153795
Spiderman 2,-0.16588213558122222
Iron Man 3,-0.4067393836217566
X-Men: The Last Stand,0.01879276927000613
Monsters University,-0.4129222151264391
Transformers: La venganza de los caídos,-0.04601135026723897
Transformers: La era de la extinción,-0.0816473332235106
Oz: The Great and Powerful,-0.42382854030106326
