keyword,fertility
Adaptar,-0.7485686026651196
doxepin,0.6030783710409295
Anafranil,0.8128120367803795
clomipramina,-0.03056619530321404
bupropiona,-0.8176420219958077
Rexulti,0.01786407694212291
Celexa,0.900191191281762
Cymbalta,0.20232627324044186
duloxetina,-0.5360450494880235
desyrel,0.8651633445243756
trazodone,0.7171264720028443
Effexor XR,0.9187954005377528
venlafaxine,0.32559035678785564
emsam,0.7675017559137195
Selegiline,0.7342979003220993
escalação,-0.5803155950935396
spravato,0.8459782376041111
perfenazina,0.8811030041278689
amitriptyline,0.8418590281203756
endep,0.8779517456287751
desvenlafaxine,0.5755856792582822
latuda,0.2197348888057999
lurasidone,0.843403738002592
lamictal,0.6901317853009901
lamotrigina,-0.40179165295443564
lexapro,0.5651922994162042
escitopram,0.7476573026114222
limbitrol,0.16100072026832657
marplan,0.8802908854750072
nardil,0.7170172479125944
fenelzina,0.8077013118452004
desipramina,0.703545543978772
pamelor,0.10547133460487243
tranilcipromina,0.7219681024904694
paxil,0.2463623139115279
paroxetina,-0.44346359906465593
prozac,0.9516763227392318
fluoxetina,-0.19414018742063044
pristiq,-0.7883225553746434
seroquel XR,0.8715251164994859
quetiapina,-0.6278672767068744
sinequan,0.9175059013098344
imipramina,-0.48338213049053724
viibryd,0.9143668677748317
vortioxetina,0.6577960224124928
vilazodone,0.8941046820357271
wellbutrin,0.16720367792885912
zoloft,0.051040735075325215
sertralina,-0.5885503009055353
xanax,-0.18403786177779052
Alprazolam,-0.682847558910598
venda de carros,0.9295385219359517
preço do gás,-0.42126953542120876
preço da gasolina,-0.6928886599845769
financiamento de automóveis,0.8358305601607185
leasing,0.742308348076745
modelo tesla 3,0.638735823735464
série bmw 3,0.8234734653586913
licença de carro,0.8008461708306303
teste de condução,0.9182007511123372
primeiro carro,-0.8134448882251123
mercedes benz,0.3249637023465757
bmw,-0.5077878608656693
vw,0.3759079342886164
dacia sandero,0.557625450781241
skoda octavia,0.6679155659229424
ford f150,-0.11801857760557667
pickup ram,0.6224106539740077
chevrolet silverado,0.7231106000036013
autismo,-0.5534867733367496
Chemtrails,-0.031238528135478345
Assassinato de JFK,0.6685847313744167
Nova ordem mundial,0.28102816059194036
George Soros,-0.3317975680543411
Maçonaria,0.9816472035952947
Área 51,0.7074061044953874
OVNI Roswell,0.6115259225179898
UFO,0.9871145017222372
homens de preto,-0.5166602208746527
formação de culturas,-0.013099024476266269
Illuminati,-0.18198876722147034
911,0.015119626957772844
jeffrey epstein,0.13892477060011962
Epstein,-0.059171143397241055
FEMA,-0.08141435979734624
Festa do chá,0.41294295175617884
Escola de Frankfurt,0.9174552301380763
Estado profundo,0.760219601493188
QAnon,0.3021759049311521
Antifa,-0.15102545292229297
flúor,0.8086259169495944
HAARP,0.1258798339236252
MKUltra,0.577042527118243
Terra plana,-0.5135572727598519
Sociedade Vril,0.7407445337409677
assange,-0.09849818592788218
wikileaks,-0.14839973468345893
nevado,0.7614488044091426
edward snowden,-0.3104127446686974
atores de crise,0.7404051871134384
gado morto,0.5557188125761587
erich von däniken,0.6325776112525106
Dinamarca,-0.04223598545783204
Giorgio A. Tsoukalos,0.7816583495455901
Tsoukalos,0.6424831453170604
reptilianos,-0.6933376804898437
o plano,-0.8550935749081467
eurabia,0.6674106085730546
arquivos secretos,0.7384151173106039
kkk,-0.7323995188961596
ku klux klan,0.6549627639473092
Martin Luther King,0.8163822278232774
dr. king,0.9155091483916022
orgulho branco,0.772587476380166
ps5,-0.2543534752676009
ps4,-0.6978119677644429
ps3,-0.5673881779093047
x caixa um,0.42751790604684353
séries xbox s,0.8006667614815224
xbox série x,0.7374848178654191
playstation,0.9801617137480885
nintendo,0.8890527648582938
lidl,0.39481279656100443
costco,0.17754028027194704
tesco,0.4530823667689628
kaufland,0.8085882185378215
alimentos integrais,0.48570325426741173
dólar geral,0.6431579049391293
loja dólar,0.6834322817275598
iphone,-0.8866189591826066
macbook,-0.9648888988697821
mac,-0.03777816753932588
pc,-0.1349837184121966
ikea,-0.6931557544663488
preservativos,0.9877885387891724
pílulas,0.7546963944263053
contraceptivos,0.9662668118222535
vasectomia,0.3336796366690209
como sair,-0.929932996450784
após a pílula,0.5081966588216832
Rigevidon,0.8817627167689471
Postinor,0.9437862662424651
Plano B,-0.6255203746294731
Tiroteio escolar,0.8008044344966786
Polícia escolar,0.7907851262815807
educação,0.9641608681076126
universidade,0.9903460979282713
faculdade,0.9650413924486679
escola,0.5560506743937951
curso de idiomas,0.9707162508693724
matemática,0.9401842016106994
geografia,0.977151703494851
inglês,0.0441094256284573
alemão,0.36236899126834504
espanhol,0.42927672169604764
cálculo,0.9868386336040578
faculdade comunitária,0.9412570998014507
raça,0.08661725188539744
corridas,0.6786746393913616
cursos de gestão,0.5764570848390853
curso de gestão,0.7807463161763938
Scio,0.809278866352194
Níveis A,-0.5402370809093286
escolas perto de mim,0.7001657732072383
Universidade de Harvard,0.6837443467646686
Instituto de Tecnologia de Massachusetts,0.7518519504431932
MIT,0.9206525621647629
Universidade de Stanford,0.8949303501692583
Universidade de Oxford,0.6424200612698051
Universidade de Cambridge,0.7670825525064994
Instituto de Tecnologia da Califórnia,0.6660958917862271
Caltech,0.632099303934809
Universidade da Califórnia,0.8223185427168578
Berkeley,0.9737364412041917
UCB,0.34665741428565294
Universidade de Chicago,0.8172553289289469
Universidade de Columbia,0.5799934937355554
Universidade de Yale,0.7566141593245237
University College London,0.8572887367643839
UCL,-0.6362704534302026
Universidade Johns Hopkins,0.7534003085792903
Imperial College London,0.7025133698626326
